step,contact,m0_0,m0_1,m0_2,o3,o4,o5,o0,o1,o2
1,29,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,30,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,31,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,32,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,33,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,34,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,35,2,0,2,0,0,0.49999999921249993,0,0,0
1,36,2,0,2,0,0,0.49999999921249993,0,0,0
1,37,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,38,2,0,2,2.8129331106583867e-318,0,0.49999999980312493,0,0,0.49999999960624997
1,39,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,40,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,41,2,0,2,0,0,0.49999999921249993,0,0,0
1,42,2,0,2,0,0,0.49999999921249993,0,0,0
1,43,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,44,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,45,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,46,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,47,2,0,2,0,0,0.49999999921249993,0,0,0
1,48,2,0,2,0,0,0.49999999921249993,0,0,0
1,49,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,50,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,51,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,52,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,53,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,54,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,55,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,56,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,57,2,0,2,0,0,0.49999999921249993,0,0,0
1,58,2,0,2,0,0,0.49999999921249993,0,0,0
1,59,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,60,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,61,2,0,2,0,0,0.49999999921249993,0,0,0
1,62,2,0,2,0,0,0.49999999921249993,0,0,0
1,63,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,64,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,65,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,66,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,67,2,0,2,0,0,0.49999999921249993,0,0,0
1,68,2,0,2,0,0,0.49999999921249993,0,0,0
1,69,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,70,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,71,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,72,2,0,2,0,0,0.50000000059062499,0,0,0.49999999960624997
1,73,2,0,2,0,0,0.49999999921249993,0,0,0
1,74,2,0,2,0,0,0.49999999921249993,0,0,0
1,75,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
1,76,2,0,2,0,0,0.49999999980312493,0,0,0.49999999960624997
