step,idx,k,k1
7,83,138,145
7,84,139,148
7,85,-170,139
7,86,-140,169
7,87,-139,177
7,88,-177,139
7,89,-178,147
7,90,-148,177
7,91,-147,185
7,92,-185,147
7,93,154,161
7,94,155,164
7,95,162,169
7,96,163,172
7,97,170,177
7,98,171,180
7,99,178,185
7,100,179,188
8,1,-9,4
8,2,-42,2
8,3,10,17
8,4,11,20
8,5,-11,49
8,6,18,25
8,7,19,28
8,8,-50,19
8,9,-20,49
8,10,-19,57
8,11,-57,19
8,12,26,33
8,13,27,36
8,14,-58,27
8,15,-28,57
8,16,-27,65
8,17,-65,27
8,18,34,41
8,19,35,44
8,20,-66,35
8,21,-36,65
8,22,-35,73
8,23,-73,35
8,24,-44,73
8,25,50,57
8,26,51,60
8,27,-82,51
8,28,-52,81
8,29,-51,89
8,30,-89,51
8,31,58,65
8,32,59,68
8,33,-90,59
8,34,-60,89
8,35,-59,97
8,36,-97,59
8,37,66,73
8,38,67,76
8,39,-98,67
8,40,-68,97
8,41,-67,105
8,42,-105,67
8,43,-106,75
8,44,-76,105
8,45,-75,113
8,46,-113,75
8,47,82,89
8,48,83,92
8,49,-83,121
8,50,-121,83
8,51,90,97
8,52,91,100
8,53,-122,91
8,54,-92,121
8,55,-91,129
8,56,-129,91
8,57,98,105
8,58,99,108
8,59,-130,99
8,60,-100,129
8,61,-99,137
8,62,-137,99
8,63,106,113
8,64,107,116
8,65,-138,107
8,66,-108,137
8,67,-107,145
8,68,-145,107
8,69,-146,115
8,70,-116,145
8,71,122,129
8,72,123,132
8,73,-154,123
8,74,-124,153
8,75,-123,161
8,76,-161,123
8,77,130,137
8,78,131,140
8,79,-162,131
8,80,-132,161
8,81,-131,169
8,82,-169,131
8,83,138,145
8,84,139,148
8,85,-170,139
8,86,-140,169
8,87,-139,177
8,88,-177,139
8,89,-178,147
8,90,-148,177
8,91,-147,185
8,92,-185,147
8,93,154,161
8,94,155,164
8,95,162,169
8,96,163,172
8,97,170,177
8,98,171,180
8,99,178,185
8,100,179,188
9,1,-9,4
9,2,-42,2
9,3,10,17
9,4,11,20
9,5,-11,49
9,6,18,25
9,7,19,28
9,8,-50,19
9,9,-20,49
9,10,-19,57
9,11,-57,19
9,12,26,33
9,13,27,36
9,14,-58,27
9,15,-28,57
9,16,-27,65
9,17,-65,27
9,18,34,41
9,19,35,44
9,20,-66,35
9,21,-36,65
9,22,-35,73
9,23,-73,35
9,24,-44,73
9,25,50,57
9,26,51,60
9,27,-82,51
9,28,-52,81
9,29,-51,89
9,30,-89,51
9,31,58,65
9,32,59,68
9,33,-90,59
9,34,-60,89
9,35,-59,97
9,36,-97,59
9,37,66,73
9,38,67,76
9,39,-98,67
9,40,-68,97
9,41,-67,105
9,42,-105,67
9,43,-106,75
9,44,-76,105
9,45,-75,113
9,46,-113,75
9,47,82,89
9,48,83,92
9,49,-83,121
9,50,-121,83
9,51,90,97
9,52,91,100
9,53,-122,91
9,54,-92,121
9,55,-91,129
9,56,-129,91
9,57,98,105
9,58,99,108
9,59,-130,99
9,60,-100,129
9,61,-99,137
9,62,-137,99
9,63,106,113
9,64,107,116
9,65,-138,107
9,66,-108,137
9,67,-107,145
9,68,-145,107
9,69,-146,115
9,70,-116,145
9,71,122,129
9,72,123,132
9,73,-154,123
9,74,-124,153
9,75,-123,161
9,76,-161,123
9,77,130,137
9,78,131,140
9,79,-162,131
9,80,-132,161
9,81,-131,169
9,82,-169,131
9,83,138,145
9,84,139,148
9,85,-170,139
9,86,-140,169
9,87,-139,177
9,88,-177,139
9,89,-178,147
9,90,-148,177
9,91,-147,185
9,92,-185,147
9,93,154,161
9,94,155,164
9,95,162,169
9,96,163,172
9,97,170,177
9,98,171,180
9,99,178,185
9,100,179,188
10,1,-9,4
10,2,-42,2
10,3,10,17
10,4,11,20
10,5,-11,49
10,6,18,25
10,7,19,28
10,8,-50,19
10,9,-20,49
10,10,-19,57
10,11,-57,19
10,12,26,33
10,13,27,36
10,14,-58,27
10,15,-28,57
10,16,-27,65
10,17,-65,27
10,18,34,41
10,19,35,44
10,20,-66,35
10,21,-36,65
10,22,-35,73
10,23,-73,35
10,24,-44,73
10,25,50,57
10,26,51,60
10,27,-82,51
10,28,-52,81
10,29,-51,89
10,30,-89,51
10,31,58,65
10,32,59,68
10,33,-90,59
10,34,-60,89
10,35,-59,97
10,36,-97,59
10,37,66,73
10,38,67,76
10,39,-98,67
10,40,-68,97
10,41,-67,105
10,42,-105,67
