step,oc_iter,contact,mtype,m0_0,m0_prev,m0_new,o3,o4,t3,w0
1,0,27,0,2,2,0,0.00032801605082212048,0,0,3.1500000000000004
1,0,28,0,2,2,2,-0.00086188844644596743,-0.00021942645128782134,0,3.1500000000000004
1,0,29,0,2,2,2,-0.0060289353247937674,9.6230528014712471e-05,0,3.1500000000000004
1,0,30,0,2,2,2,-0.0059216639115081543,0.00021973134807510119,0,3.1500000000000004
1,0,31,0,2,2,2,-0.0059843409145012572,-0.00012307822752653355,0,3.1500000000000004
1,0,32,0,2,2,2,-0.0060294999283493494,-6.6280934752401943e-06,0,3.1500000000000004
1,0,33,0,2,2,2,-0.0074494679349561312,0.00064453651321007505,0,3.1500000000000004
1,0,34,0,2,2,2,-0.0062037673657890785,0.00073881021891943391,0,3.1500000000000004
1,0,35,0,2,2,2,-0.00010285857476944047,-5.6502907479216713e-07,0,3.1500000000000004
1,0,36,0,2,2,2,-0.00023618411154743225,-2.8088554738001092e-05,0,3.1500000000000004
1,0,37,0,2,2,2,-0.0022857374577860828,0.0001459480115600149,0,3.1500000000000004
1,0,38,0,2,2,2,-0.0029868740147953876,0.00020130404682725043,0,3.1500000000000004
1,0,39,0,2,2,2,-0.0021588351083696375,-0.00017069197230370898,0,3.1500000000000004
1,0,40,0,2,2,2,-0.0023389426402884647,-0.00012375816584294153,0,3.1500000000000004
1,0,41,0,2,2,2,-0.00013467880466554074,-2.1012906692430278e-10,0,3.1500000000000004
1,0,42,0,2,2,2,-0.00016784851563679724,-2.1020797602577801e-10,0,3.1500000000000004
1,0,43,0,2,2,2,-0.0021592466417764272,2.560901935993215e-05,0,3.1500000000000004
1,0,44,0,2,2,2,-0.0021869236631076386,6.5492139243723271e-05,0,3.1500000000000004
1,0,45,0,2,2,2,-0.0021704145210157122,-8.392364960207122e-05,0,3.1500000000000004
1,0,46,0,2,2,2,-0.0021857344328209613,-4.3152772727836575e-05,0,3.1500000000000004
1,0,47,0,2,2,2,-0.00010285862148995266,5.6460355558202169e-07,0,3.1500000000000004
1,0,48,0,2,2,2,-0.00023618408050981015,2.8088131181734644e-05,0,3.1500000000000004
1,0,49,0,2,2,2,-0.0021857346485118292,4.3153989757781781e-05,0,3.1500000000000004
1,0,50,0,2,2,2,-0.0021704147312236882,8.392486603472602e-05,0,3.1500000000000004
1,0,51,0,2,2,2,-0.0021869234724314554,-6.5490934052044557e-05,0,3.1500000000000004
1,0,52,0,2,2,2,-0.0021592464158578933,-2.5607814538421196e-05,0,3.1500000000000004
1,0,53,0,2,2,2,-0.0023389428249569882,0.0001237593406938608,0,3.1500000000000004
1,0,54,0,2,2,2,-0.0021588353412497208,0.00017069314645776559,0,3.1500000000000004
1,0,55,0,2,2,2,-0.0029868738447092619,-0.00020130285383512106,0,3.1500000000000004
1,0,56,0,2,2,2,-0.0022857373255645852,-0.00014594681904140714,0,3.1500000000000004
1,0,57,0,2,2,2,-0.00026970617740295646,5.3205182502381876e-05,0,3.1500000000000004
1,0,58,0,2,2,0,0.00020978655094703314,0,0,3.1500000000000004
1,0,59,0,2,2,2,-0.00093706205123657293,0.00023962010476679502,0,3.1500000000000004
1,0,60,0,2,2,2,-0.00046871751725760524,0.00024422721203603171,0,3.1500000000000004
1,0,61,0,2,2,2,-6.8761792087768722e-05,2.6487791044534081e-05,0,3.1500000000000004
1,0,62,0,2,2,2,-4.3577925246437301e-05,2.4499413356894595e-05,0,3.1500000000000004
1,0,63,0,2,2,2,-0.00077932694134087016,1.6804217609395706e-05,0,3.1500000000000004
1,0,64,0,2,2,2,-0.00083201143245238002,2.9833553819761888e-05,0,3.1500000000000004
1,0,65,0,2,2,2,-0.00080867644722743687,-2.3421125690596645e-05,0,3.1500000000000004
1,0,66,0,2,2,2,-0.00079685058837392769,-8.739443158927251e-06,0,3.1500000000000004
1,0,67,0,2,2,2,-6.8761804296202977e-05,-2.6488232653935906e-05,0,3.1500000000000004
