step,contact,mtype,p1,p2,p3,m4,m5,m6,m0_0,m0_2,o2,o3,o4,o5
1,26,0,65,28,27,66,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,27,0,34,41,44,41,35,34,2,2,0,0,0,0.49999999921249993
1,28,0,44,35,34,35,41,44,2,2,0,0,0,0.49999999921249993
1,29,0,66,36,35,0,65,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,30,0,36,66,65,0,35,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,31,0,35,74,73,36,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,32,0,73,36,35,74,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,33,0,74,44,43,0,73,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,34,0,44,74,73,0,43,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,35,0,50,57,60,57,51,50,2,2,0,0,0,0.49999999921249993
1,36,0,60,51,50,51,57,60,2,2,0,0,0,0.49999999921249993
1,37,0,82,52,51,0,81,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,38,0,52,82,81,0,51,0,2,2,0.49999999960624997,2.8129331106583867e-318,0,0.49999999980312493
1,39,0,51,90,89,52,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,40,0,89,52,51,90,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,41,0,58,65,68,65,59,58,2,2,0,0,0,0.49999999921249993
1,42,0,68,59,58,59,65,68,2,2,0,0,0,0.49999999921249993
1,43,0,90,60,59,0,89,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,44,0,60,90,89,0,59,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,45,0,59,98,97,60,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,46,0,97,60,59,98,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,47,0,66,73,76,73,67,66,2,2,0,0,0,0.49999999921249993
1,48,0,76,67,66,67,73,76,2,2,0,0,0,0.49999999921249993
1,49,0,98,68,67,0,97,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,50,0,68,98,97,0,67,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,51,0,67,106,105,68,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,52,0,105,68,67,106,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,53,0,106,76,75,0,105,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,54,0,76,106,105,0,75,0,2,2,0.49999999960624997,0,0,0.49999999980312493
1,55,0,75,114,113,76,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,56,0,113,76,75,114,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,57,0,82,89,92,89,83,82,2,2,0,0,0,0.49999999921249993
1,58,0,92,83,82,83,89,92,2,2,0,0,0,0.49999999921249993
1,59,0,83,122,121,84,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,60,0,121,84,83,122,0,0,2,2,0.49999999960624997,0,0,0.50000000059062499
1,61,0,90,97,100,97,91,90,2,2,0,0,0,0.49999999921249993
