step,contact,jj,block_i,block_j,mtype,q01,q02,b1,cs1,cs2,cs3,x1,y1,x2,y2,x3,y3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,o3,o4,o5,m0_0,m0_1,m0_2,k5,fric_ang,cohesion
1,34,0,6,10,0,1,1,2,0,7.8749984311343724e-10,0.49999999960624997,8,2,9,2,7,2,0,-1,1.0000000000000018,-0,-0.5,0.50000000000000089,0,1,-1.7763568394002505e-15,0,-0.50000000000000044,-8.8817841970012523e-16,-1,0,0.5,1.0000000000000018,0,-0.25,1,0,0.50000000000000044,1.5749980208923375e-09,0,-0.25000000000000022,-1,0,-0.50000000000000044,-7.8749828880120276e-10,-0,0.25000000000000022,0,0,0.49999999980312493,2,0,2,0,30,0
1,35,0,7,8,0,1,1,1,0,0,0,3,2,3,2,3,3,-1,0,-0.50000000000000044,-0.99999999999999956,-0,0.25000000000000022,1,0,0.5,-1,0,-0.25,0,1,0.99999999999999956,0,-0.50000000000000044,0.49999999999999978,0,-1,1,0,0.5,0.5,0,1,-1,0,-0.5,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,36,0,8,7,0,1,1,1,-0,0,0,3,3,3,3,3,2,1,0,-0.5,-1,0,0.25,-1,0,0.49999999999999956,-0.99999999999999956,0,-0.24999999999999978,0,-1,1,-0,-0.5,0.5,0,1,0.99999999999999956,0,0.49999999999999956,0.49999999999999978,0,-1,-0.99999999999999956,0,-0.49999999999999956,-0.49999999999999978,0,0,0.49999999921249993,2,0,2,0,30,0
1,37,0,11,7,0,1,1,2,-0,7.8750028720264709e-10,0.49999999960624997,2,3,1,3,3,3,0,1,1,0,-0.5,0.5,0,-1,4.4408920985006262e-16,0,-0.49999999999999956,2.2204460492503131e-16,1,0,0.5,1,0,-0.25,-0.99999999999999989,1.1102230246251565e-16,0.49999999999999939,1.5750006854275966e-09,5.5511151231257778e-17,-0.24999999999999981,1,0,-0.49999999999999956,-7.8750050924725201e-10,0,0.24999999999999978,0,0,0.49999999980312493,2,0,2,0,30,0
1,38,0,7,11,0,1,1,2,0,7.8750006515804216e-10,0.49999999960624997,1,3,2,3,0,3,0,-1,1.0000000000000004,-0,-0.49999999999999956,0.50000000000000022,0,1,5.5511151231257827e-17,0,-0.5,2.7755575615628914e-17,-1,0,0.49999999999999956,1.0000000000000004,0,-0.24999999999999978,1,1.1102230246251565e-16,0.50000000000000011,1.5750001858272356e-09,-5.5511151231257827e-17,-0.24999999999999994,-1,0,-0.5,-7.8750012066919339e-10,-0,0.25,2.8129331106583867e-318,0,0.49999999980312493,2,0,2,0,30,0
1,39,0,7,12,0,1,1,2,0,7.8750006515804216e-10,0.49999999960624997,3,3,4,3,2,3,0,-1,-0.99999999999999956,0,-0.49999999999999956,-0.49999999999999978,0,1,0,0,-0.49999999999999911,0,-1,0,0.49999999999999956,-0.99999999999999956,0,-0.24999999999999978,1,1.1102230246251565e-16,0.49999999999999922,1.5750001303160843e-09,-5.5511151231257728e-17,-0.2499999999999995,-1,0,-0.49999999999999911,-7.8750006515804216e-10,-0,0.24999999999999956,0,0,0.50000000059062499,2,0,2,0,30,0
1,40,0,12,7,0,1,1,2,-0,7.8750028720264709e-10,0.49999999960624997,2,3,1,3,3,3,0,1,-1,0,-0.49999999999999911,-0.5,0,-1,4.4408920985006262e-16,0,-0.49999999999999956,2.2204460492503131e-16,1,0,0.49999999999999911,-1,0,-0.24999999999999956,-0.99999999999999989,1.1102230246251565e-16,0.49999999999999939,1.5750006854275966e-09,5.5511151231257778e-17,-0.24999999999999981,1,0,-0.49999999999999956,-7.8750050924725201e-10,0,0.24999999999999978,0,0,0.50000000059062499,2,0,2,0,30,0
1,41,0,8,9,0,1,1,1,0,0,0,5,2,5,2,5,3,-1,0,-0.5,-1,-0,0.25,1,0,0.49999999999999956,-0.99999999999999911,0,-0.24999999999999978,0,1,1,0,-0.5,0.5,0,-1,0.99999999999999911,0,0.49999999999999956,0.49999999999999956,0,1,-0.99999999999999911,0,-0.49999999999999956,-0.49999999999999956,0,0,0.49999999921249993,2,0,2,0,30,0
1,42,0,9,8,0,1,1,1,-0,0,0,5,3,5,3,5,2,1,0,-0.50000000000000044,-0.99999999999999911,0,0.25000000000000022,-1,0,0.5,-1,0,-0.25,0,-1,0.99999999999999911,-0,-0.50000000000000044,0.49999999999999956,0,1,1,0,0.5,0.5,0,-1,-1,0,-0.5,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,43,0,12,8,0,1,1,2,-0,7.8749984311343724e-10,0.49999999960624997,4,3,3,3,5,3,0,1,1,0,-0.49999999999999911,0.5,0,-1,0,0,-0.5,0,1,0,0.49999999999999911,1,0,-0.24999999999999956,-1,1.1102230246251565e-16,0.49999999999999994,1.5749997972491769e-09,5.5511151231257827e-17,-0.25000000000000011,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.49999999980312493,2,0,2,0,30,0
