step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,1,49,0,2,2,2,-0.00033255837953862302,0.00027494434159447894,0,3.1500000000000004
2,1,50,0,0,0,0,0.00044598090860036412,8.4759011954577051e-05,0,3.1500000000000004
2,1,51,0,2,2,2,-0.0014410819163754929,0.00037060488187940215,0,3.1500000000000004
2,1,52,0,2,2,2,-0.00072558323102133913,0.00037318428329245995,0,3.1500000000000004
2,1,53,0,2,2,2,-0.00015423686317091878,3.6387995991661046e-06,0,3.1500000000000004
2,1,54,0,2,2,2,-0.00012559069159498893,5.2002850410308458e-06,0,3.1500000000000004
2,1,55,0,2,2,2,-0.0010224534090734004,-7.2406727475192971e-05,0,3.1500000000000004
2,1,56,0,2,2,2,-0.0011242538619139165,-7.5565140914382579e-05,0,3.1500000000000004
2,1,57,0,2,2,2,-0.001078196952396145,-9.964725969849241e-05,0,3.1500000000000004
2,1,58,0,2,2,2,-0.0010787456228201731,-9.7410886537809517e-05,0,3.1500000000000004
2,1,59,0,2,2,2,-0.00015425754556167975,-3.4644784914677998e-06,0,3.1500000000000004
2,1,60,0,2,2,2,-0.00012555258837374802,-5.0732792373178815e-06,0,3.1500000000000004
2,1,61,0,2,2,2,-0.0010686856649309903,1.8405149565659958e-05,0,3.1500000000000004
2,1,62,0,2,2,2,-0.0010729942711100308,2.5943986023188482e-05,0,3.1500000000000004
2,1,63,0,2,2,2,-0.0010729780332155942,-2.6042974022651914e-05,0,3.1500000000000004
2,1,64,0,2,2,2,-0.0010686953177019907,-1.8503409438992919e-05,0,3.1500000000000004
2,1,65,0,2,2,2,-0.00033256416254380332,-0.0002747459465249672,0,3.1500000000000004
2,1,66,0,0,0,0,0.00044574284495729852,-3.3189034636617173e-05,0,3.1500000000000004
2,1,67,0,2,2,2,-0.0010785070918797922,9.7282843944883807e-05,0,3.1500000000000004
2,1,68,0,2,2,2,-0.0010780512750692478,9.9510698380510812e-05,0,3.1500000000000004
2,1,69,0,2,2,2,-0.0011239108810963856,7.54528755501177e-05,0,3.1500000000000004
2,1,70,0,2,2,2,-0.0010222670918512613,7.2289770789664217e-05,0,3.1500000000000004
2,1,71,0,2,2,2,-0.00072552901690470977,-0.00037305790284821588,0,3.1500000000000004
2,1,72,0,2,2,2,-0.0014407515539982627,-0.00037047904861631508,0,3.1500000000000004
2,1,73,0,0,1,1,-2.5004003869144917e-05,2.9261936398475778e-05,0,3.1500000000000004
2,1,74,0,0,0,0,6.2307980740914002e-05,0,0,3.1500000000000004
2,1,75,0,2,2,2,-0.00038048232111024226,0.0001439574019857599,0,3.1500000000000004
2,1,76,0,2,2,2,-0.00049887719718650736,0.00016108790136791843,0,3.1500000000000004
2,1,77,0,2,2,2,-0.0004622577803265642,7.2969587094645359e-05,0,3.1500000000000004
2,1,78,0,2,2,2,-0.0003718425138209709,8.6597767364999734e-05,0,3.1500000000000004
2,1,79,0,2,2,2,-3.6908303152057967e-05,9.7651556854066117e-09,0,3.1500000000000004
2,1,80,0,2,2,2,-2.4858254544099968e-05,4.8830883633258547e-09,0,3.1500000000000004
2,1,81,0,2,2,2,-0.00039722055865356909,2.2953684708845462e-06,0,3.1500000000000004
2,1,82,0,2,2,2,-0.00040803683071181289,1.0657282735893417e-05,0,3.1500000000000004
2,1,83,0,2,2,2,-0.0004123700105742096,-1.2446380353543677e-05,0,3.1500000000000004
2,1,84,0,2,2,2,-0.00040809160257069957,-4.370359897046903e-06,0,3.1500000000000004
2,1,85,0,0,1,1,-2.4992915557235529e-05,-2.9206097547985509e-05,0,3.1500000000000004
2,1,86,0,0,0,0,6.226410628025925e-05,5.7377560008401362e-05,0,3.1500000000000004
2,1,87,0,2,2,2,-0.0004080623683870799,4.336887521954667e-06,0,3.1500000000000004
2,1,88,0,2,2,2,-0.00041236502153444159,1.2412193936851454e-05,0,3.1500000000000004
2,1,89,0,2,2,2,-0.00040799103163507929,-1.0692001019561282e-05,0,3.1500000000000004
2,1,90,0,2,2,2,-0.00039720353118785905,-2.3300381469530283e-06,0,3.1500000000000004
2,1,91,0,2,2,2,-0.00037178684337543441,-8.6585050995788916e-05,0,3.1500000000000004
2,1,92,0,2,2,2,-0.0004621670528180701,-7.2960427287456075e-05,0,3.1500000000000004
2,1,93,0,2,2,2,-0.00049882519172229673,-0.00016106511514709027,0,3.1500000000000004
