step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,1,22,0,0,1,1,-0.00087125068087030042,4.0152381993368805e-05,0,3.1500000000000004
2,1,23,0,0,1,2,-0.0022386775563932103,-0.00014117990116913149,0,3.1500000000000004
2,1,24,0,0,1,2,-0.00016064744643678029,-0.00044745377985392682,0,3.1500000000000004
2,1,25,0,0,1,2,-0.0028177292137571072,-0.00059043649262325681,0,3.1500000000000004
2,1,26,0,2,2,2,-0.0053040829013368219,0.0035787315013474062,1126.5539582739664,3.1500000000000004
2,1,27,0,2,2,2,-0.00074472467685985548,0.00060964533099672755,1126.556420457187,3.1500000000000004
2,1,28,0,2,2,2,-0.0010984801344121745,0.0014070360722301537,516.52565279454961,3.1500000000000004
2,1,29,0,2,2,2,0.001324105493632806,0.0012715821594716978,516.5258614616672,3.1500000000000004
2,1,30,0,2,2,0,8.8451312387017401e-05,-0.00032918201645704034,0,3.1500000000000004
2,1,31,0,0,1,1,-0.00019042751119586419,0.00010504759229914017,0,3.1500000000000004
2,1,32,0,0,1,2,-0.0017075111114687493,-0.00035673369619640822,0,3.1500000000000004
2,1,33,0,0,1,2,-0.0017811390191251823,-0.00037275336365614862,0,3.1500000000000004
2,1,34,0,2,2,2,-0.0018898033124034954,0.00095614053328827689,705.21716615122784,3.1500000000000004
2,1,35,0,2,2,2,-0.00020371591689748251,6.4530805937034592e-05,705.21777666473315,3.1500000000000004
2,1,36,0,2,2,2,-0.001589918554065599,-0.0020818420733482576,1470.7720817724235,3.1500000000000004
2,1,37,0,2,2,2,-0.0084048368552229278,0.0048851316573831757,1469.8703170720935,3.1500000000000004
2,1,38,0,0,0,0,0.00015739384050184789,0,0,3.1500000000000004
2,1,39,0,0,1,2,-0.00047110455085613975,-0.00015580796268782707,0,3.1500000000000004
2,1,40,0,2,2,2,-0.0005765999667736001,6.398341800131302e-05,0,3.1500000000000004
2,1,41,0,0,1,2,-0.0001065161813618771,-2.0215752781575673e-06,0,3.1500000000000004
2,1,42,0,0,0,0,3.971730221597566e-05,0,0,3.1500000000000004
2,1,43,0,2,2,2,-0.0016206416577439423,0.0015478846748125576,716.12696583942477,3.1500000000000004
2,1,44,0,2,2,2,-0.0012868578228240122,0.00194986039307736,716.12680634647586,3.1500000000000004
2,1,45,0,0,1,2,-0.00071391782352650686,-0.0005151707829874904,0,3.1500000000000004
2,1,46,0,0,1,2,-0.0032506552032099327,-0.00044665767904888981,0,3.1500000000000004
2,1,47,1,0,3,3,-0.00040289351671098566,0,0,3.1500000000000004
2,1,48,0,0,1,1,-0.001009894000355276,0.00011698490517457398,0,3.1500000000000004
2,1,49,0,0,1,1,-0.0020023731213797006,0.00010125427775416533,0,3.1500000000000004
2,1,50,0,0,1,1,-0.0024225173645407989,0.00037108819000640047,0,3.1500000000000004
2,1,51,0,2,2,1,-0.00018846793685564633,0.0015546993607605474,0,3.1500000000000004
2,1,52,0,0,1,2,-0.0030308235543183046,-0.00079349427405765673,0,3.1500000000000004
2,1,53,0,0,1,1,-6.1869704188079403e-05,5.6506376451722338e-06,0,3.1500000000000004
2,1,54,0,0,1,1,-0.0012623083844644444,0.00037251749836754769,0,3.1500000000000004
2,2,1,0,0,2,1,-0.00083354794144552366,0.0004886143458926979,0,3.1500000000000004
2,2,2,0,0,2,1,-0.00092510333098560691,0.00049169521231270128,0,3.1500000000000004
2,2,3,0,0,1,1,-0.00028907897689202285,0.00049054016722886783,0,3.1500000000000004
2,2,4,0,2,2,2,-0.002907337986063489,0.0035352836517435161,1493.3363265957548,3.1500000000000004
2,2,5,0,2,2,2,-0.00094821238439584939,0.00063777493289745755,1493.3370664500362,3.1500000000000004
2,2,6,0,0,2,2,-0.0033430889746291427,0.00044867313263841459,0,3.1500000000000004
2,2,7,0,0,2,1,-0.0002402277870530012,0.00016820409919166804,0,3.1500000000000004
2,2,8,0,0,2,2,-0.0019368602203184767,0.0003181279633331631,0,3.1500000000000004
2,2,9,0,0,2,2,-0.00031712191482795407,-5.0310910600828991e-05,0,3.1500000000000004
2,2,10,0,0,2,2,-0.0012741927672121063,0.00018902613533662362,0,3.1500000000000004
2,2,11,0,0,2,2,-0.0012257381219415047,0.00015724692447503504,0,3.1500000000000004
2,2,12,0,0,2,1,-0.00078488638365133124,0.00060040499811142697,0,3.1500000000000004
2,2,13,0,0,2,1,-0.00056263705514066325,0.00042919389895201777,0,3.1500000000000004
2,2,14,0,0,2,2,-0.0010189550197189396,0.00042493076570481575,0,3.1500000000000004
2,2,15,0,2,2,2,-0.0013203959496139136,0.0006626129979902315,1048.9694403354329,3.1500000000000004
2,2,16,0,2,2,2,-0.0028718059175810921,-0.00012456981298110777,1049.2193221225846,3.1500000000000004
2,2,17,0,0,0,0,0.00084110804577186018,0,0,3.1500000000000004
2,2,18,0,0,1,1,-0.00082130819819454149,0.00098876375920231205,0,3.1500000000000004
2,2,19,0,0,1,1,-0.0008698049640693871,0.0009937576808074645,0,3.1500000000000004
2,2,20,0,0,0,0,0.00042772759667277763,0,0,3.1500000000000004
2,2,21,0,0,0,0,0.00022236376915516108,-3.1500000000000002e-13,0,3.1500000000000004
2,2,22,0,0,1,1,-0.00084304020226982511,0.00022543756564446165,0,3.1500000000000004
2,2,23,0,0,2,2,-0.0021858940294321701,0.00052656432747938105,0,3.1500000000000004
2,2,24,0,0,2,1,-0.00014999616325566257,0.00035049395525272139,0,3.1500000000000004
2,2,25,0,0,2,2,-0.0027560190751859388,0.00094318342311283925,0,3.1500000000000004
2,2,26,0,2,2,2,-0.0050886014873709421,0.003105008667076436,1126.5539582739664,3.1500000000000004
2,2,27,0,2,2,2,-0.00056601040864165831,0.00032749041094435032,1126.556420457187,3.1500000000000004
2,2,28,0,2,2,2,-0.0011629453445114487,0.0015060542874407059,516.52565279454961,3.1500000000000004
2,2,29,0,2,2,2,0.0013234243323660831,0.0014413586036116709,516.5258614616672,3.1500000000000004
2,2,30,0,2,0,0,9.2051308058343676e-05,-0.00032918201645704034,0,3.1500000000000004
2,2,31,0,0,1,2,-0.00020484310372359291,-5.2070063222819816e-05,0,3.1500000000000004
2,2,32,0,0,2,2,-0.0016678657488382763,0.0006292774498351583,0,3.1500000000000004
2,2,33,0,0,2,2,-0.0017615673192885369,0.00061869398029985108,0,3.1500000000000004
2,2,34,0,2,2,2,-0.0019260431705451573,0.00099491425607592388,705.21716615122784,3.1500000000000004
2,2,35,0,2,2,2,-0.00014284982812203475,8.1771226625724548e-06,705.21777666473315,3.1500000000000004
2,2,36,0,2,2,2,-0.0016274103150771754,-0.0020471517804304395,1470.7720817724235,3.1500000000000004
2,2,37,0,2,2,2,-0.0087948139051602942,0.0054757883000945799,1469.8703170720935,3.1500000000000004
2,2,38,0,0,0,0,0.00013213226023721443,0,0,3.1500000000000004
2,2,39,0,0,2,2,-0.00038884783357913031,6.4611056815265134e-05,0,3.1500000000000004
2,2,40,0,2,2,1,-0.00061308302633748509,0.00029682745234577948,0,3.1500000000000004
2,2,41,0,0,2,2,-0.00010760517879724267,-1.1068301750930618e-06,0,3.1500000000000004
