step,contact,m0_0,m0_1,m0_2,o3,o4,o5,o0,o1,o2,m_i0,fric_ang,coh,tens
16,1,0,0,1,-0.00035255579165230019,4.4100000000000004e-13,0.99989504864352052,-0.00035255579165230019,4.4100000000000004e-13,0.08894198637056247,0,38,0,0
16,2,0,0,1,-0.00040062791094886362,4.4100000000000004e-13,0.99989504864352052,-0.00040062791094886362,4.4100000000000004e-13,0.26570019347500101,0,38,0,0
17,1,0,0,1,-0.00042968076918916017,4.4100000000000004e-13,1.0001416414995561,-0.00042968076918916017,4.4100000000000004e-13,0.08898522698106974,0,38,0,0
17,2,0,0,1,-0.00051296159914181183,4.4100000000000004e-13,1.0001416414995561,-0.00051296159914181183,4.4100000000000004e-13,0.26578703259002218,0,38,0,0
18,1,0,0,1,-0.00053394904999459465,4.4100000000000004e-13,1.0003096716697686,-0.00053394904999459465,4.4100000000000004e-13,0.089041877366017291,0,38,0,0
18,2,0,0,1,-0.00068064473956852382,4.4100000000000004e-13,1.0003096716697686,-0.00068064473956852382,4.4100000000000004e-13,0.26587340661109116,0,38,0,0
19,1,0,0,1,-0.00064431776966932376,4.4100000000000004e-13,1.0003522688992856,-0.00064431776966932376,4.4100000000000004e-13,0.089114802687471864,0,38,0,0
19,2,0,0,1,-0.00086769922872832717,4.4100000000000004e-13,1.0003522688992856,-0.00086769922872832717,4.4100000000000004e-13,0.26595389162794164,0,38,0,0
20,1,0,0,1,-0.00073644747318914899,4.4100000000000004e-13,1.0002642309613226,-0.00073644747318914899,4.4100000000000004e-13,0.089202798686100343,0,38,0,0
20,2,0,0,1,-0.0010377095276382436,4.4100000000000004e-13,1.0002642309613226,-0.0010377095276382436,4.4100000000000004e-13,0.26602635768630623,0,38,0,0
